label,x1_y1_z1,x2_y2_z2,x3_y3_z3,x4_y4_z4,x5_y5_z5,x6_y6_z6,x7_y7_z7,x8_y8_z8,x9_y9_z9,x10_y10_z10,x11_y11_z11,x12_y12_z12,x13_y13_z13,x14_y14_z14,x15_y15_z15,x16_y16_z16,x17_y17_z17,x18_y18_z18,x19_y19_z19,x20_y20_z20,x21_y21_z21,x22_y22_z22,x23_y23_z23,x24_y24_z24,x25_y25_z25,x26_y26_z26,x27_y27_z27,x28_y28_z28,x29_y29_z29,x30_y30_z30,x31_y31_z31,x32_y32_z32,x33_y33_z33,x34_y34_z34,x35_y35_z35,x36_y36_z36,x37_y37_z37,x38_y38_z38,x39_y39_z39,x40_y40_z40,x41_y41_z41,x42_y42_z42,x43_y43_z43,x44_y44_z44,x45_y45_z45,x46_y46_z46,x47_y47_z47,x48_y48_z48,x49_y49_z49,x50_y50_z50,x51_y51_z51,x52_y52_z52,x53_y53_z53,x54_y54_z54,x55_y55_z55,x56_y56_z56,x57_y57_z57,x58_y58_z58,x59_y59_z59,x60_y60_z60,x61_y61_z61,x62_y62_z62,x63_y63_z63
rock,0.5875294804573059,0.7227518558502197,-1.1147607210659771e-06,0.45702266693115234,0.592192530632019,0.12123676389455795,0.43950194120407104,0.47421157360076904,0.2008828967809677,0.4558948874473572,0.3976169526576996,0.2851756513118744,0.46044930815696716,0.32583343982696533,0.37438273429870605,0.4646380841732025,0.30763471126556396,0.058283731341362,0.44813621044158936,0.27571535110473633,0.22265256941318512,0.4517986476421356,0.3164970576763153,0.36413881182670593,0.4610559046268463,0.34524983167648315,0.45160776376724243,0.5561736822128296,0.3227599263191223,0.06857740134000778,0.5305790305137634,0.27049922943115234,0.23760750889778137,0.5195980668067932,0.31878238916397095,0.3623860776424408,0.5117185115814209,0.358351469039917,0.4296804666519165,0.6374847888946533,0.35231804847717285,0.10439366847276688,0.602165699005127,0.31086623668670654,0.27563250064849854,0.5790919661521912,0.36509969830513,0.3486293852329254,0.571238100528717,0.4111701250076294,0.36234113574028015,0.7005407214164734,0.37171471118927,0.15231582522392273,0.6628637313842773,0.3557169437408447,0.2779790759086609,0.6281880140304565,0.3949606418609619,0.3210107982158661,0.6150282025337219,0.43521788716316223,0.3335234224796295
rock,0.5929419994354248,0.7078561186790466,-1.0288998737451038e-06,0.4630924165248871,0.5868274569511414,0.10089509189128876,0.44502872228622437,0.47452259063720703,0.17006221413612366,0.4638247489929199,0.40007835626602173,0.24694830179214478,0.46958571672439575,0.33125385642051697,0.3288021981716156,0.4761982262134552,0.3140975832939148,0.035926613956689835,0.4573707580566406,0.2824525833129883,0.18941542506217957,0.459816575050354,0.3240675628185272,0.32267847657203674,0.4696946144104004,0.353798508644104,0.40446966886520386,0.5641134977340698,0.32993441820144653,0.0520024448633194,0.5373833179473877,0.27725932002067566,0.20965701341629028,0.524920642375946,0.32512015104293823,0.3256770968437195,0.5182412266731262,0.36319220066070557,0.3867715299129486,0.6410542726516724,0.3583485186100006,0.09190366417169571,0.6046383380889893,0.317277729511261,0.25159040093421936,0.5809150338172913,0.3712047338485718,0.3156850039958954,0.5739110112190247,0.4160441756248474,0.32401353120803833,0.6999368667602539,0.3757639229297638,0.14254604279994965,0.6618215441703796,0.3591483235359192,0.25805604457855225,0.6273577213287354,0.39743438363075256,0.29432329535484314,0.6142601370811462,0.4363638162612915,0.3019358217716217
rock,0.5955087542533875,0.70176100730896,-9.939436722561368e-07,0.4692328870296478,0.5884811282157898,0.09747694432735443,0.4521980881690979,0.4759220480918884,0.16433529555797577,0.4682028293609619,0.3994501531124115,0.23720455169677734,0.4753270745277405,0.33377495408058167,0.3158782422542572,0.4836989641189575,0.3177396059036255,0.044359851628541946,0.46161770820617676,0.2857441306114197,0.1890040785074234,0.4639666676521301,0.3295915126800537,0.31417521834373474,0.4737046957015991,0.3596598505973816,0.39125752449035645,0.5704789757728577,0.3291160464286804,0.058016784489154816,0.5409040451049805,0.2819961607456207,0.20368041098117828,0.5285216569900513,0.32863426208496094,0.31172236800193787,0.5210626125335693,0.3665027618408203,0.3706929385662079,0.6450392603874207,0.35619914531707764,0.09400336444377899,0.6072892546653748,0.3208881616592407,0.24168336391448975,0.5831329822540283,0.37077072262763977,0.3056597113609314,0.5755953788757324,0.4141448438167572,0.31877458095550537,0.7015405893325806,0.37584972381591797,0.14004190266132355,0.6633793115615845,0.3596755862236023,0.24969902634620667,0.6285514235496521,0.39666450023651123,0.28859376907348633,0.6158958673477173,0.4341980218887329,0.301197350025177
rock,0.5968543291091919,0.694201648235321,-9.161407206192962e-07,0.47024306654930115,0.5818027257919312,0.09443356096744537,0.4529571831226349,0.47243526577949524,0.16088992357254028,0.4704749584197998,0.39847075939178467,0.2335003763437271,0.4764867424964905,0.33327624201774597,0.31222003698349,0.4865139126777649,0.3160688281059265,0.04995488002896309,0.4641743302345276,0.2857664227485657,0.1937272846698761,0.46515944600105286,0.3256111741065979,0.31782111525535583,0.47469645738601685,0.35472917556762695,0.39498206973075867,0.5737631320953369,0.32822978496551514,0.06463973969221115,0.5447080135345459,0.28221291303634644,0.21094925701618195,0.5315227508544922,0.3271148204803467,0.32044172286987305,0.5236947536468506,0.36432337760925293,0.3818773031234741,0.6465739011764526,0.3569181561470032,0.10024394094944,0.6087360382080078,0.32351231575012207,0.24784766137599945,0.5847048759460449,0.3717602491378784,0.31405267119407654,0.5780908465385437,0.414497047662735,0.33001431822776794,0.70331209897995,0.3788650631904602,0.14511720836162567,0.6645896434783936,0.3660046458244324,0.2548495829105377,0.6305405497550964,0.40140077471733093,0.2946297824382782,0.6183813810348511,0.43825677037239075,0.30870380997657776
rock,0.549769401550293,0.65828537940979,-7.878529686422553e-07,0.4725545644760132,0.5129719972610474,0.23167654871940613,0.4823029041290283,0.36298397183418274,0.3554166853427887,0.526544451713562,0.27739381790161133,0.460441917181015,0.5746753811836243,0.21547260880470276,0.5709577202796936,0.4746514856815338,0.20938171446323395,0.2145426720380783,0.5383162498474121,0.15814310312271118,0.4145538806915283,0.5636391639709473,0.18920505046844482,0.5677626729011536,0.5666242241859436,0.21510648727416992,0.6608965396881104,0.5823550224304199,0.2374773919582367,0.16452480852603912,0.6316747069358826,0.14723345637321472,0.378292977809906,0.6547279357910156,0.1599183976650238,0.5256837010383606,0.6524564027786255,0.17450302839279175,0.6097478866577148,0.6833075284957886,0.2703814208507538,0.14219675958156586,0.7173860669136047,0.19013670086860657,0.3473075032234192,0.7154425382614136,0.204607754945755,0.4767592251300812,0.7094355225563049,0.21970053017139435,0.5308133363723755,0.7861014604568481,0.31485313177108765,0.13611188530921936,0.7953477501869202,0.23130404949188232,0.29708966612815857,0.7765946984291077,0.25210830569267273,0.3956943452358246,0.7687360644340515,0.2736508250236511,0.4491693377494812
rock,0.543917715549469,0.6752176284790039,-1.4540408983521047e-06,0.4746362566947937,0.5100263357162476,0.25124451518058777,0.4915505051612854,0.3691660165786743,0.3665602505207062,0.5430235266685486,0.2843499481678009,0.4626561999320984,0.5885074734687805,0.2129092961549759,0.5628371238708496,0.4798431992530823,0.19494779407978058,0.12223473936319351,0.5446982979774475,0.11914955079555511,0.30641892552375793,0.5677679181098938,0.17230549454689026,0.4778450131416321,0.5681012868881226,0.21629545092582703,0.5877148509025574,0.5792911052703857,0.23444464802742004,0.06217062100768089,0.6381048560142517,0.11471642553806305,0.26296475529670715,0.6574642658233643,0.17207929491996765,0.44096049666404724,0.6476197242736816,0.21563035249710083,0.5456117987632751,0.6841124296188354,0.2791139483451843,0.037817612290382385,0.7267783880233765,0.16817419230937958,0.24444010853767395,0.7249389290809631,0.22719909250736237,0.39220258593559265,0.7086344957351685,0.27378126978874207,0.4530821144580841,0.7777292132377625,0.3244749903678894,0.03408639132976532,0.7979142069816589,0.23187217116355896,0.20003174245357513,0.7743509411811829,0.2797089219093323,0.30537012219429016,0.7588455677032471,0.32779765129089355,0.36160463094711304
rock,0.5216619372367859,0.6974882483482361,-1.5715456811449258e-06,0.4477691352367401,0.5304096341133118,0.24429951608181,0.45725372433662415,0.3897344768047333,0.362550288438797,0.4983031749725342,0.3010040819644928,0.46142369508743286,0.5457040071487427,0.22811177372932434,0.5647294521331787,0.45907115936279297,0.2175595760345459,0.13002006709575653,0.5173526406288147,0.13641002774238586,0.3141616880893707,0.5436643958091736,0.1792086511850357,0.4870898425579071,0.5464845299720764,0.21798574924468994,0.5973828434944153,0.5538325309753418,0.2495843470096588,0.07147068530321121,0.6166636943817139,0.13154813647270203,0.2642230987548828,0.638508141040802,0.18533675372600555,0.434596985578537,0.6272175312042236,0.22530455887317657,0.5342601537704468,0.6560978889465332,0.29041409492492676,0.04698829725384712,0.6980733275413513,0.18221156299114227,0.24181009829044342,0.7004739046096802,0.23903381824493408,0.3792990446090698,0.6808023452758789,0.28472042083740234,0.43495264649391174,0.7446767687797546,0.33182525634765625,0.042651496827602386,0.7689031362533569,0.24272388219833374,0.1933022141456604,0.7515453100204468,0.2843487858772278,0.28748682141304016,0.7323437333106995,0.33006981015205383,0.33780637383461
rock,0.5020965933799744,0.7030670642852783,-1.6705546386219794e-06,0.4300938546657562,0.5366359949111938,0.23402391374111176,0.44112271070480347,0.4030315577983856,0.33926841616630554,0.48342862725257874,0.31168562173843384,0.42371949553489685,0.5336177945137024,0.24190883338451385,0.5078524351119995,0.4385582506656647,0.2411677986383438,0.11508838832378387,0.4957868456840515,0.16152869164943695,0.29555007815361023,0.5197601318359375,0.21251261234283447,0.4553358256816864,0.519635796546936,0.25469788908958435,0.5504869222640991,0.5260298848152161,0.2699517011642456,0.05113900452852249,0.5857977271080017,0.1598336100578308,0.24383634328842163,0.6024045944213867,0.22033438086509705,0.3879542946815491,0.5909289121627808,0.26570650935173035,0.45645999908447266,0.6247597336769104,0.3083488941192627,0.021757246926426888,0.6630879640579224,0.20731008052825928,0.2197931408882141,0.6627274751663208,0.27471619844436646,0.324129194021225,0.6422445774078369,0.32684242725372314,0.34248608350753784,0.7117807865142822,0.34292760491371155,0.012033240869641304,0.7265568971633911,0.26304182410240173,0.16351373493671417,0.7069387435913086,0.31654053926467896,0.23935513198375702,0.6864655613899231,0.36777374148368835,0.26440122723579407
rock,0.47869324684143066,0.6986424326896667,-1.6082854017440695e-06,0.4038478136062622,0.541413426399231,0.21295344829559326,0.4121255576610565,0.4158109128475189,0.3085039258003235,0.44795531034469604,0.32620444893836975,0.38465529680252075,0.49436497688293457,0.2610625624656677,0.4599821865558624,0.4120367765426636,0.2662714421749115,0.10918646305799484,0.4684305191040039,0.18893934786319733,0.2730063498020172,0.49129223823547363,0.2365703135728836,0.4136570394039154,0.48936283588409424,0.2739255726337433,0.49506476521492004,0.49560046195983887,0.2894667685031891,0.04982385411858559,0.5512778162956238,0.19076523184776306,0.2251390963792801,0.5650081634521484,0.24996308982372284,0.346990704536438,0.5540527105331421,0.29353299736976624,0.39879754185676575,0.5888990163803101,0.32419905066490173,0.022068144753575325,0.6236788034439087,0.23096944391727448,0.20287835597991943,0.6231361031532288,0.2948388159275055,0.2887614667415619,0.6045732498168945,0.3443050682544708,0.2953183054924011,0.6714425683021545,0.356715589761734,0.012393892742693424,0.6845850944519043,0.2806504964828491,0.15151585638523102,0.6683560609817505,0.33091384172439575,0.21719375252723694,0.6500735878944397,0.37938445806503296,0.2343108206987381
rock,0.4602198004722595,0.6925357580184937,-1.5473466419280157e-06,0.38478320837020874,0.5471047163009644,0.1961338371038437,0.3900574743747711,0.4291103780269623,0.28323081135749817,0.42138671875,0.34458309412002563,0.35322192311286926,0.4641537070274353,0.28349122405052185,0.4213644862174988,0.3871699571609497,0.2905064821243286,0.09655717760324478,0.43850183486938477,0.21986670792102814,0.25149959325790405,0.45974501967430115,0.2667989134788513,0.3810223639011383,0.45759469270706177,0.30215296149253845,0.4543578028678894,0.4667065143585205,0.3111284375190735,0.043311674147844315,0.5145778656005859,0.22260405123233795,0.21366655826568604,0.5264492034912109,0.280302494764328,0.3240806758403778,0.5165890455245972,0.3222709894180298,0.36587849259376526,0.5549860000610352,0.3419453203678131,0.0200116615742445,0.5834827423095703,0.2578590512275696,0.19584712386131287,0.582551121711731,0.3206430673599243,0.268266499042511,0.5667067170143127,0.3684297502040863,0.2639714181423187,0.6336017847061157,0.3669424057006836,0.013645286671817303,0.6415245532989502,0.3019219636917114,0.14631295204162598,0.6267105340957642,0.3525516390800476,0.2016821652650833,0.6111292243003845,0.39789506793022156,0.2098778933286667
